scenario_id	family_id	fixture_bytes	final_bytes	editor_algorithm	attempted	completed	driver_exit	timeout	verification	terminal	edit_commit_ns	g2_target_ms	goal	raw_vs_target	master_reuse	clone_copy_ns	cache_ns	cache_store	cache_fuse	driver_preparation_ns	cleanup_ns	complete_command_wall_ns	complete_command_status	verifier_wall_ns	verification_coverage	full_file_bytes_verified	lft1_root_ns	lft1_edit_ns	lft1_commit_ns	lft1_cpu_user_ns	lft1_cpu_system_ns	lft1_sampled_max_rss	lft1_resource_status	lft1_scope	projection_counts	upstream_calls	unmount_ok	sandbox_delete_ok	evidence
overwrite-head-4k-on-1mib-ops-1-exec-v2	edit_length_preserving	1048576	1048576	single-positional-write	1	1	0	False	PASS	INELIGIBLE	44120042	6.31	INELIGIBLE	ABOVE	exact-compatibility-key	1217334	969583	PASS	INELIGIBLE	305644000	416210417	844362500	PASS	45488375	full-file	True	44117333	17995167	26120250	9783000	13708000	33538048	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-head-4k-on-1mib-ops-1-exec-v2
overwrite-head-4k-on-10mib-ops-1-exec-v2	edit_length_preserving	10485760	10485760	single-positional-write	1	1	0	False	PASS	INELIGIBLE	40912083	5.9	INELIGIBLE	ABOVE	exact-compatibility-key	3993542	2791875	PASS	INELIGIBLE	277489042	468314750	837037667	PASS	107437042	full-file	True	40907583	20292083	20613250	7989000	9905000	33144832	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-head-4k-on-10mib-ops-1-exec-v2
overwrite-head-4k-on-100mib-ops-1-exec-v2	edit_length_preserving	104857600	104857600	single-positional-write	1	1	0	False	PASS	INELIGIBLE	49125167	5.81	INELIGIBLE	ABOVE	exact-compatibility-key	36778875	21227833	PASS	INELIGIBLE	322563209	457005959	881006416	PASS	637260250	full-file	True	49121667	22894292	26225000	7544000	11186000	31293440	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-head-4k-on-100mib-ops-1-exec-v2
overwrite-head-4k-on-500mib-ops-1-exec-v2	edit_length_preserving	524288000	524288000	single-positional-write	1	1	0	False	PASS	INELIGIBLE	67625458	7.34	INELIGIBLE	ABOVE	exact-compatibility-key	174958625	103852250	PASS	INELIGIBLE	306808042	434082958	862677875	PASS	38734709	bounded-windows-2	False	67617417	18685625	48929500	8826000	12529000	31408128	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-head-4k-on-500mib-ops-1-exec-v2
overwrite-middle-4k-on-1mib-ops-1-exec-v2	edit_length_preserving	1048576	1048576	single-positional-write	1	1	0	False	PASS	INELIGIBLE	34369375	5.63	INELIGIBLE	ABOVE	exact-compatibility-key	1181750	900458	PASS	INELIGIBLE	300276709	464059917	846237542	PASS	43419625	full-file	True	34367041	15548041	18817666	4862000	6291000	29179904	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-middle-4k-on-1mib-ops-1-exec-v2
overwrite-middle-4k-on-10mib-ops-1-exec-v2	edit_length_preserving	10485760	10485760	single-positional-write	1	1	0	False	PASS	INELIGIBLE	46901667	5.7	INELIGIBLE	ABOVE	exact-compatibility-key	5980083	3090500	PASS	INELIGIBLE	313044125	477572042	956687417	PASS	100657167	full-file	True	46899333	21675709	25221833	6906000	9397000	31522816	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-middle-4k-on-10mib-ops-1-exec-v2
overwrite-middle-4k-on-100mib-ops-1-exec-v2	edit_length_preserving	104857600	104857600	single-positional-write	1	1	0	False	PASS	INELIGIBLE	45303083	6.43	INELIGIBLE	ABOVE	exact-compatibility-key	36923208	21299209	PASS	INELIGIBLE	292004209	465311583	854097667	PASS	658802167	full-file	True	45300500	17591042	27707917	7991000	10495000	30375936	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-middle-4k-on-100mib-ops-1-exec-v2
overwrite-middle-4k-on-500mib-ops-1-exec-v2	edit_length_preserving	524288000	524288000	single-positional-write	1	1	0	False	PASS	INELIGIBLE	75857250	10.01	INELIGIBLE	ABOVE	exact-compatibility-key	179267792	110868750	PASS	INELIGIBLE	319254125	445984125	962730708	PASS	41890041	bounded-windows-2	False	75853958	18757500	57094375	9873000	15190000	30015488	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-middle-4k-on-500mib-ops-1-exec-v2
overwrite-tail-4k-on-1mib-ops-1-exec-v2	edit_length_preserving	1048576	1048576	single-positional-write	1	1	0	False	PASS	INELIGIBLE	40398667	4.72	INELIGIBLE	ABOVE	exact-compatibility-key	1317750	1031583	PASS	INELIGIBLE	307081042	433029667	844118167	PASS	45978208	full-file	True	40396625	16565541	23828958	8709000	11867000	36061184	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-tail-4k-on-1mib-ops-1-exec-v2
overwrite-tail-4k-on-10mib-ops-1-exec-v2	edit_length_preserving	10485760	10485760	single-positional-write	1	1	0	False	PASS	INELIGIBLE	42227167	6.06	INELIGIBLE	ABOVE	exact-compatibility-key	4489583	2801041	PASS	INELIGIBLE	306401125	477080833	948176750	PASS	104770792	full-file	True	42225084	20339959	21883583	7717000	9863000	30097408	sampled	caller-process-window (host caller + Service)	lookup=1,getattr=5,read=0,write=1,readdir=0,open=1,setattr=0,rename=0,other=0	4	True	True	/Users/yifanxu/.codex/worktrees/bb50/layerfs/benchmark-results/fs-bench-pro/exec-fuse-edit-v2-campaign/overwrite-tail-4k-on-10mib-ops-1-exec-v2
