lane|packs|writes|final_bytes|equal_growth_bytes|amplification
Native|1142|7130|276058548|1001675136|3.628
Ordinary|3|21|625356|2690731|4.303
PooledMetadata|3|207|726096|25670723|35.354
WholeFile|102|9444|24613232|1169771205|47.526
TOTAL|1250|16802|302023232|2199807795|7.284
q|writes|packs|final_bytes|equal_growth_bytes
writes_per_pack|4|2|278052|695130
writes_per_pack|5|20|4407329|13221987
writes_per_pack|6|827|197382794|690839779
writes_per_pack|7|290|73087125|292348500
writes_per_pack|8|5|1274102|5733459
writes_per_pack|11|1|254502|1527012
writes_per_pack|15|1|261931|2095448
writes_per_pack|25|1|133154|1731002
writes_per_pack|28|1|249117|3612196
writes_per_pack|29|1|189113|2836695
writes_per_pack|36|1|259366|4798271
writes_per_pack|39|1|198860|3977200
writes_per_pack|43|1|252540|5555880
writes_per_pack|47|1|252236|6053664
writes_per_pack|49|1|251478|6286950
writes_per_pack|54|1|199608|5489220
writes_per_pack|56|1|256245|7302982
writes_per_pack|58|2|438768|12943656
writes_per_pack|59|1|258727|7761810
writes_per_pack|60|3|612327|18675973
writes_per_pack|61|2|307253|9524843
writes_per_pack|63|4|933645|29876640
writes_per_pack|66|1|247439|8289206
writes_per_pack|67|2|509305|17316370
writes_per_pack|69|2|514022|17990770
writes_per_pack|72|1|181276|6616574
writes_per_pack|73|3|676709|25038233
writes_per_pack|74|3|774612|29047950
writes_per_pack|75|1|258490|9822620
writes_per_pack|77|1|246950|9631050
writes_per_pack|78|3|659436|26047722
writes_per_pack|79|1|258819|10352760
writes_per_pack|80|1|255933|10365286
writes_per_pack|81|5|1272371|52167211
writes_per_pack|82|1|248992|10333168
writes_per_pack|85|1|249454|10726522
writes_per_pack|86|2|501824|21829344
writes_per_pack|89|2|506882|22809690
writes_per_pack|90|4|936861|42627175
writes_per_pack|92|1|253041|11766406
writes_per_pack|93|4|965342|45371074
writes_per_pack|94|2|412390|19588525
writes_per_pack|95|2|484582|23259936
writes_per_pack|103|1|251211|13062972
writes_per_pack|107|1|256320|13841280
writes_per_pack|108|1|210075|11449087
writes_per_pack|109|2|518641|28525255
writes_per_pack|111|2|518475|29034600
writes_per_pack|112|1|253498|14322637
writes_per_pack|115|2|491945|28532810
writes_per_pack|116|1|252564|14774994
writes_per_pack|117|1|262048|15460832
writes_per_pack|118|1|251129|14942175
writes_per_pack|119|1|249415|14964900
writes_per_pack|121|2|501346|30582106
writes_per_pack|123|1|261860|16235320
writes_per_pack|124|1|260542|16283875
writes_per_pack|125|3|711199|44805537
writes_per_pack|127|1|256221|16398144
writes_per_pack|128|2|523928|33793356
writes_per_pack|129|1|246334|16011710
writes_per_pack|130|1|254019|16638244
writes_per_pack|134|2|508339|34312882
writes_per_pack|137|1|261978|18076482
writes_per_pack|138|2|522181|36291579
writes_per_pack|139|1|251133|17579310
writes_per_pack|143|1|255357|18385704
writes_per_pack|147|1|255757|18926018
writes_per_pack|149|1|262057|19654275
writes_per_pack|152|1|261883|20034049
writes_per_pack|161|1|261581|21188061
writes_per_pack|166|1|237180|19804530
writes_per_pack|167|1|262014|22009176
