cutoff	initial	class	count	size	prefix_per_file	elapsed_ns	alloc_calls	realloc_calls	alloc_requested_bytes	realloc_requested_bytes	max_request	initial_capacity_min	initial_capacity_max	final_capacity_min	final_capacity_max	read_calls	read_bytes	dispatch	equal	digest
131072	131072	empty	100	0	0	91625	100	0	13107200	0	131072	131072	131072	131072	131072	100	0	inline	yes	0
131072	131072	tiny325	1074	325	325	386120	1074	0	140771328	0	131072	131072	131072	131072	131072	2148	349050	inline	yes	57593250
131072	131072	tiny326	6825	326	326	2458838	6825	0	894566400	0	131072	131072	131072	131072	131072	13650	2224950	inline	yes	367116750
131072	131072	small	1500	20782	20782	1479858	1500	0	196608000	0	131072	131072	131072	131072	131072	4500	31173000	inline	yes	5143545000
131072	131072	medium	500	332506	131072	2136921	500	0	65536000	0	131072	131072	131072	131072	131072	2500	65536000	chunked	yes	10813440000
131072	131072	anchor	1	100000000	131072	6917	1	0	131072	0	131072	131072	131072	131072	131072	5	131072	chunked	yes	21626880
131072	4096	empty	100	0	0	21708	100	0	409600	0	4096	4096	4096	4096	4096	100	0	inline	yes	0
131072	4096	tiny325	1074	325	325	94912	1074	0	4399104	0	4096	4096	4096	4096	4096	2148	349050	inline	yes	57593250
131072	4096	tiny326	6825	326	326	681637	6825	0	27955200	0	4096	4096	4096	4096	4096	13650	2224950	inline	yes	367116750
131072	4096	small	1500	20782	20782	2211272	1500	4500	6144000	86016000	32768	4096	4096	32768	32768	9000	31173000	inline	yes	5143545000
131072	4096	medium	500	332506	131072	3986930	500	3000	2048000	258048000	262144	4096	4096	262144	262144	3500	65536000	chunked	yes	10813440000
131072	4096	anchor	1	100000000	131072	9708	1	6	4096	516096	262144	4096	4096	262144	262144	7	131072	chunked	yes	21626880
131072	512	empty	100	0	0	12125	100	0	51200	0	512	512	512	512	512	100	0	inline	yes	0
131072	512	tiny325	1074	325	325	45668	1074	0	549888	0	512	512	512	512	512	2148	349050	inline	yes	57593250
131072	512	tiny326	6825	326	326	290683	6825	0	3494400	0	512	512	512	512	512	13650	2224950	inline	yes	367116750
131072	512	small	1500	20782	20782	2567072	1500	9000	768000	96768000	32768	512	512	32768	32768	13500	31173000	inline	yes	5143545000
131072	512	medium	500	332506	131072	4048091	500	4500	256000	261632000	262144	512	512	262144	262144	5000	65536000	chunked	yes	10813440000
131072	512	anchor	1	100000000	131072	8333	1	9	512	523264	262144	512	512	262144	262144	10	131072	chunked	yes	21626880
131072	0	empty	100	0	0	2418	0	0	0	0	0	0	0	0	0	100	0	inline	yes	0
131072	0	tiny325	1074	325	325	356433	1074	4296	34368	1031040	512	0	0	512	512	6444	349050	inline	yes	57593250
131072	0	tiny326	6825	326	326	2032379	6825	27300	218400	6552000	512	0	0	512	512	40950	2224950	inline	yes	367116750
131072	0	small	1500	20782	20782	2928000	1500	15000	48000	98208000	32768	0	0	32768	32768	18000	31173000	inline	yes	5143545000
131072	0	medium	500	332506	131072	4188504	500	6500	16000	262112000	262144	0	0	262144	262144	6500	65536000	chunked	yes	10813440000
131072	0	anchor	1	100000000	131072	8625	1	13	32	524224	262144	0	0	262144	262144	13	131072	chunked	yes	21626880
262144	262144	empty	100	0	0	24334	100	0	26214400	0	262144	262144	262144	262144	262144	100	0	inline	yes	0
262144	262144	tiny325	1074	325	325	286882	1074	0	281542656	0	262144	262144	262144	262144	262144	2148	349050	inline	yes	57593250
262144	262144	tiny326	6825	326	326	1555082	6825	0	1789132800	0	262144	262144	262144	262144	262144	13650	2224950	inline	yes	367116750
262144	262144	small	1500	20782	20782	1317364	1500	0	393216000	0	262144	262144	262144	262144	262144	4500	31173000	inline	yes	5143545000
262144	262144	medium	500	332506	262144	3880390	500	0	131072000	0	262144	262144	262144	262144	262144	3000	131072000	chunked	yes	21626880000
262144	262144	anchor	1	100000000	262144	9584	1	0	262144	0	262144	262144	262144	262144	262144	6	262144	chunked	yes	43253760
262144	4096	empty	100	0	0	9791	100	0	409600	0	4096	4096	4096	4096	4096	100	0	inline	yes	0
262144	4096	tiny325	1074	325	325	96127	1074	0	4399104	0	4096	4096	4096	4096	4096	2148	349050	inline	yes	57593250
262144	4096	tiny326	6825	326	326	620333	6825	0	27955200	0	4096	4096	4096	4096	4096	13650	2224950	inline	yes	367116750
262144	4096	small	1500	20782	20782	2112003	1500	4500	6144000	86016000	32768	4096	4096	32768	32768	9000	31173000	inline	yes	5143545000
262144	4096	medium	500	332506	262144	4569782	500	3500	2048000	520192000	524288	4096	4096	524288	524288	4000	131072000	chunked	yes	21626880000
262144	4096	anchor	1	100000000	262144	10333	1	7	4096	1040384	524288	4096	4096	524288	524288	8	262144	chunked	yes	43253760
262144	512	empty	100	0	0	5248	100	0	51200	0	512	512	512	512	512	100	0	inline	yes	0
262144	512	tiny325	1074	325	325	45450	1074	0	549888	0	512	512	512	512	512	2148	349050	inline	yes	57593250
262144	512	tiny326	6825	326	326	296304	6825	0	3494400	0	512	512	512	512	512	13650	2224950	inline	yes	367116750
262144	512	small	1500	20782	20782	2506572	1500	9000	768000	96768000	32768	512	512	32768	32768	13500	31173000	inline	yes	5143545000
262144	512	medium	500	332506	262144	4857788	500	5000	256000	523776000	524288	512	512	524288	524288	5500	131072000	chunked	yes	21626880000
262144	512	anchor	1	100000000	262144	10042	1	10	512	1047552	524288	512	512	524288	524288	11	262144	chunked	yes	43253760
262144	0	empty	100	0	0	2500	0	0	0	0	0	0	0	0	0	100	0	inline	yes	0
