path                                                                           scope        prod  physical
core/crates/layerfs-content/src/error.rs                                       core          159       234
core/crates/layerfs-content/src/file/cdc/gear.rs                               core          494       538
core/crates/layerfs-content/src/file/cdc/mod.rs                                core            5        10
core/crates/layerfs-content/src/file/content.rs                                core          242       323
core/crates/layerfs-content/src/file/edit/apply.rs                             core          420       506
core/crates/layerfs-content/src/file/edit/compare.rs                           core           94       121
core/crates/layerfs-content/src/file/edit/concat.rs                            core           19        29
core/crates/layerfs-content/src/file/edit/finish.rs                            core           38        54
core/crates/layerfs-content/src/file/edit/input.rs                             core          286       390
core/crates/layerfs-content/src/file/edit/mod.rs                               core           15        20
core/crates/layerfs-content/src/file/edit/split.rs                             core           23        32
core/crates/layerfs-content/src/file/edit/tree.rs                              core          750       978
core/crates/layerfs-content/src/file/mapping/build.rs                          core          313       397
core/crates/layerfs-content/src/file/mapping/codec.rs                          core          304       345
core/crates/layerfs-content/src/file/mapping/mod.rs                            core           18        23
core/crates/layerfs-content/src/file/mapping/read.rs                           core          419       561
core/crates/layerfs-content/src/file/mapping/types.rs                          core          190       266
core/crates/layerfs-content/src/file/mod.rs                                    core           17        23
core/crates/layerfs-content/src/file/read.rs                                   core          111       127
core/crates/layerfs-content/src/file/view.rs                                   core           87       117
core/crates/layerfs-content/src/filesystem/attributes/build.rs                 core          386       433
core/crates/layerfs-content/src/filesystem/attributes/codec.rs                 core          322       375
core/crates/layerfs-content/src/filesystem/attributes/keys.rs                  core           77       107
core/crates/layerfs-content/src/filesystem/attributes/mod.rs                   core           16        19
core/crates/layerfs-content/src/filesystem/attributes/patch.rs                 core          189       234
core/crates/layerfs-content/src/filesystem/attributes/portable.rs              core           70        95
core/crates/layerfs-content/src/filesystem/attributes/read.rs                  core          167       196
core/crates/layerfs-content/src/filesystem/attributes/value.rs                 core           73        91
core/crates/layerfs-content/src/filesystem/directory/codec.rs                  core          156       190
core/crates/layerfs-content/src/filesystem/directory/mod.rs                    core            6         9
core/crates/layerfs-content/src/filesystem/directory/read.rs                   core          272       315
core/crates/layerfs-content/src/filesystem/directory/update.rs                 core           39        52
core/crates/layerfs-content/src/filesystem/identity.rs                         core           32        63
core/crates/layerfs-content/src/filesystem/inode/codec.rs                      core          145       178
core/crates/layerfs-content/src/filesystem/inode/mod.rs                        core            6         9
core/crates/layerfs-content/src/filesystem/inode/read.rs                       core          186       211
core/crates/layerfs-content/src/filesystem/inode/update.rs                     core           72        97
core/crates/layerfs-content/src/filesystem/input.rs                            core          158       233
core/crates/layerfs-content/src/filesystem/limits.rs                           core           24       113
core/crates/layerfs-content/src/filesystem/mod.rs                              core           28        33
core/crates/layerfs-content/src/filesystem/objects.rs                          core          101       166
core/crates/layerfs-content/src/filesystem/path.rs                             core          147       197
core/crates/layerfs-content/src/filesystem/read.rs                             core          212       275
core/crates/layerfs-content/src/filesystem/references/backing.rs               core          246       360
core/crates/layerfs-content/src/filesystem/references/merge.rs                 core          173       260
core/crates/layerfs-content/src/filesystem/references/mod.rs                   core           15        18
core/crates/layerfs-content/src/filesystem/references/record.rs                core          120       166
core/crates/layerfs-content/src/filesystem/references/reduce.rs                core          472       594
core/crates/layerfs-content/src/filesystem/references/release.rs               core          167       205
core/crates/layerfs-content/src/filesystem/references/runs.rs                  core          416       611
core/crates/layerfs-content/src/filesystem/root.rs                             core          119       160
core/crates/layerfs-content/src/filesystem/sorted/budget.rs                    core           83       111
core/crates/layerfs-content/src/filesystem/sorted/finish.rs                    core          156       180
core/crates/layerfs-content/src/filesystem/sorted/format.rs                    core          592       744
core/crates/layerfs-content/src/filesystem/sorted/merge.rs                     core          278       312
core/crates/layerfs-content/src/filesystem/sorted/mod.rs                       core            9        12
core/crates/layerfs-content/src/filesystem/sorted/page.rs                      core          481       614
core/crates/layerfs-content/src/filesystem/symlink.rs                          core           70        94
core/crates/layerfs-content/src/filesystem/update.rs                           core          405       500
core/crates/layerfs-content/src/filesystem/validate.rs                         core          653       824
core/crates/layerfs-content/src/lib.rs                                         core           31        48
core/crates/layerfs-content/src/object/access.rs                               core           44        86
core/crates/layerfs-content/src/object/codec.rs                                core          107       139
core/crates/layerfs-content/src/object/id.rs                                   core           70        96
core/crates/layerfs-content/src/object/inode_leaf.rs                           core          345       467
core/crates/layerfs-content/src/object/mod.rs                                  core           23        29
core/crates/layerfs-content/src/object/output.rs                               core          156       242
core/crates/layerfs-content/src/object/predecessor.rs                          core           64       102
core/crates/layerfs-content/src/policy.rs                                      core          137       237
core/crates/layerfs-storage/sql/schema.sql                                     core           48        72
core/crates/layerfs-storage/src/cas/batch.rs                                   core           58        87
core/crates/layerfs-storage/src/cas/dependencies.rs                            core           60        86
core/crates/layerfs-storage/src/cas/finish.rs                                  core           16        25
core/crates/layerfs-storage/src/cas/lifecycle.rs                               core          174       232
core/crates/layerfs-storage/src/cas/membership.rs                              core           32        47
core/crates/layerfs-storage/src/cas/mod.rs                                     core           18        23
core/crates/layerfs-storage/src/cas/owner.rs                                   core           88       148
core/crates/layerfs-storage/src/cas/placement.rs                               core          134       180
core/crates/layerfs-storage/src/cas/pool_lane.rs                               core          273       365
core/crates/layerfs-storage/src/cas/provider.rs                                core          109       175
core/crates/layerfs-storage/src/cas/read.rs                                    core          115       170
core/crates/layerfs-storage/src/cas/save.rs                                    core           52        76
core/crates/layerfs-storage/src/cas/selection.rs                               core          107       137
core/crates/layerfs-storage/src/cas/store.rs                                   core          399       605
core/crates/layerfs-storage/src/encoding/codec.rs                              core          515       663
core/crates/layerfs-storage/src/encoding/decode.rs                             core          172       202
core/crates/layerfs-storage/src/encoding/delta/candidates.rs                   core          126       166
core/crates/layerfs-storage/src/encoding/delta/mod.rs                          core            4         8
