arm,state,checkpoint,operation_ns,content,harness.predecessors,store.create,harness.input,filesystem.residual,filesystem/validate,filesystem/directories,filesystem/references,filesystem/inodes,filesystem/cleanup,filesystem/root.encode,storage.begin,storage.accept_loop,harness.index,storage.finish,state.residual,read_waves,requested_objects,returned_canonical_bytes,provider_read_elapsed_ns
baseline,history.state.1,1,53035166,6421167,213375,2967334,529042,216625,148750,254250,4833,154750,250,792,1475459,20240292,470209,19492500,445538,0,0,0,0
baseline,history.state.2,11,298182917,27974500,1402833,0,1627875,17219583,80528333,14572792,17625,4574167,500,750,425625,102263084,1227417,45107709,1240124,3332,3360,1846252,112348922
baseline,history.state.3,21,426577916,36705334,1401417,0,1856708,65854876,67308541,62544584,18750,15402791,500,750,368833,132395750,1504375,40218125,996582,2710,2794,4230943,205794995
baseline,history.state.4,31,643139875,38569166,1406333,0,1892292,166185415,56712292,145531292,27875,40005542,542,917,405417,162994792,1748125,26885333,774542,3013,3143,6158113,402283820
baseline,history.state.5,41,1322727917,71887125,2870375,0,4352959,326216666,170578958,267660042,56292,75465292,500,750,420375,301158042,4015542,96709833,1335166,7210,7371,14080407,826170952
baseline,history.state.6,51,1369588250,65221916,2722500,0,3680500,384519376,115881166,319230458,42666,96525250,584,875,404375,367084667,3689375,8822792,1761750,4464,4741,13402687,905111604
baseline,history.state.7,61,1947407709,75707083,3642125,0,5002875,558522334,182628750,473245292,60000,138295667,416,875,418125,416273708,4903083,87167917,1539459,6371,6700,21045604,1336446143
baseline,history.state.8,71,1972901250,53566750,2555167,0,3776667,671232001,109220750,583655833,48125,185731916,458,792,438542,319731666,3532125,37293708,2116750,3819,4205,15341375,1537586897
baseline,history.state.9,81,2336004833,83854917,3699917,0,4777666,689895334,159741917,573535708,73250,242308250,333,958,545709,499061875,4482375,71238667,2787957,4281,4678,17767178,1651296824
baseline,history.state.10,91,2513644667,75918375,3227541,0,4993875,778961249,187115583,637957709,46083,294655292,1042,958,1789667,411059667,3974708,111505625,2437293,3301,3743,15183562,1884884102
baseline,history.state.11,101,4529954042,116874542,6049958,0,7141417,1564079499,262412917,1183317625,33250,467441625,917,1458,433708,815610625,18328292,84817625,3410584,6811,7307,30672937,3388272391
baseline,history.state.12,111,4524247042,128617042,6144958,0,7463625,1582262584,319811000,1178970916,43083,431403584,667,1375,385875,721325917,9179083,136252042,2385291,7463,7986,36238586,3393037491
baseline,history.state.13,121,4464009583,124038083,6018250,0,6865541,1602865418,238369666,1147848125,20667,458442333,1000,1833,474000,765164875,7150417,101033792,5715583,8966,9542,18630326,3355361591
baseline,history.state.14,131,5784064584,174404167,8699500,0,9482125,1945409252,402407250,1461512458,35458,531078208,708,10208,619709,1157705583,10839834,75216709,6643415,13201,13817,21173555,4164406499
baseline,history.state.15,141,5258073250,170441375,7895084,0,10126292,1744433002,429985666,1220666042,50750,443761291,958,1416,389750,1112857416,12285583,98449125,6729500,14904,15608,23811353,3566650103
baseline,history.state.16,151,4729469875,152876292,7317834,0,8319667,1569067918,268215250,1117248458,47833,492838208,875,1375,1541459,1046726500,9982375,46324667,8961164,9798,10648,24794931,3330824826
baseline,history.state.17,157,4988739250,148953292,6777875,0,9319125,1611701961,378914833,1118556167,27083,552526208,1041,1916,519541,1044098667,11858083,97323459,8159999,11071,11890,21870133,3498754422
candidate,history.state.1,1,56094625,6687500,276875,3861209,508667,213793,159708,233750,5167,192333,333,791,1833875,21382166,377167,19679125,682166,0,0,0,0
candidate,history.state.2,11,272587916,26921125,767459,0,1591708,6527083,81502833,3666459,20250,4558042,625,708,713250,100565209,1263500,43410500,1079165,3046,3076,1222666,92311984
candidate,history.state.3,21,326648041,36096458,1234250,0,1782667,15453916,63315708,12332459,32500,15039834,542,708,407542,136255583,1984208,41532583,1179083,1912,2008,2262985,101865471
candidate,history.state.4,31,418721333,39520500,1467417,0,1940875,43647376,70975583,20674708,30750,41563083,708,792,427708,166910167,1955416,27820084,1786166,1883,2033,3104303,171698353
candidate,history.state.5,41,867941125,71796625,2967583,0,4041750,88112582,181105833,31980584,62834,73912333,792,750,867709,309195417,4257542,97467292,2171499,5600,5786,9551927,363773188
candidate,history.state.6,51,831266042,65573583,2672875,0,3750875,106752208,118260584,42122792,50458,105307791,1250,1167,451458,372702625,3514125,8591292,1512959,2886,3198,8225291,362993174
candidate,history.state.7,61,1111285542,77673958,3684458,0,5349375,138720250,186860125,50719750,73833,139121209,625,875,445125,412624333,5165584,88943375,1902667,4457,4827,14330504,502681832
candidate,history.state.8,71,938602583,57016500,2930208,0,3927166,158471500,115622250,61726291,55375,182405708,959,1000,1546792,313165000,3007125,36630375,2096334,1837,2266,7471351,509251540
candidate,history.state.9,81,1319503333,82137625,3348000,0,4623125,212011207,157904917,73503000,53500,245772042,667,750,597167,466743708,4545084,65752375,2510166,2507,2957,10683134,677921621
candidate,history.state.10,91,1404753417,72112584,3161709,0,4359708,239969750,178828291,76243375,47917,297132083,1000,1209,500459,413166375,4296000,112656917,2276040,1679,2174,8310906,782329333
candidate,history.state.11,101,2386005333,118704250,6344875,0,7155042,510056959,263215375,143378500,78916,464307167,875,10625,617084,786688625,7810792,74862583,2773665,4009,4565,18475621,1292407834
candidate,history.state.12,111,2332930459,126802459,6577541,0,8148125,470573541,302910708,151830500,55458,410790334,1000,1292,398375,713173250,8728125,129767916,3171835,4801,5388,24014468,1237386503
candidate,history.state.13,121,2378885208,129974000,6655125,0,8863625,520877335,254863041,138910625,20208,433659917,1125,1708,436750,759915000,9822083,111460792,3423874,3989,4638,6470278,1266177609
candidate,history.state.14,131,3285596333,166458750,8459459,0,9622125,710794959,411821042,227043708,35167,510276875,875,2166,1586417,1134707500,12337291,88816208,3633791,8044,8733,8230883,1661581030
candidate,history.state.15,141,3273825750,176059125,8668792,0,10990792,649781624,443978042,217259833,51834,458819500,917,1542,921083,1187384916,11472250,103503708,4931792,9201,9993,8757351,1562621934
candidate,history.state.16,151,2948431167,160500917,8205250,0,8866458,630263874,281842292,177212250,49584,520181000,667,1458,1665250,1095463750,11185208,48035125,4958084,4293,5240,8679767,1487463212
candidate,history.state.17,157,3233788458,157968375,7290875,0,9765000,708258459,392231208,204341500,18792,579714916,1792,3125,1438500,1058525542,12125750,98138541,3966083,6472,7397,9035081,1720256651
