arm,state,operation_ns,provider_ns,pooled_decodes,pooled_decoded_bytes,pooled_hits,ordinary_decodes
baseline,history.state.1,38048500,0,0,0,0,0
baseline,history.state.2,207937167,75772274,124,2190832,0,1
baseline,history.state.3,232362958,72850388,320,10398528,0,3
baseline,history.state.4,289833792,110818251,700,26897150,0,4
baseline,history.state.5,630288708,257118973,1166,48548980,0,5
baseline,history.state.6,592837625,248751058,1418,62345654,0,7
baseline,history.state.7,819424291,374278785,2090,87145622,0,10
baseline,history.state.8,688819292,373322516,2426,108635706,0,12
baseline,history.state.9,951119334,478453503,3200,145177734,0,19
baseline,history.state.10,1015537958,563585960,4282,196791662,0,20
baseline,history.state.11,1684648375,892408278,6614,295873030,0,27
baseline,history.state.12,1675238625,893597959,6082,275941010,0,39
baseline,history.state.13,1718488583,906302834,5406,243125350,0,53
baseline,history.state.14,2315026500,1150834735,5938,272942454,0,76
baseline,history.state.15,2439551958,1204875622,4644,214203394,0,84
baseline,history.state.16,2115054667,1060917620,5470,257054674,0,77
baseline,history.state.17,2246522459,1192171998,5796,275590958,0,76
candidate,history.state.1,36987000,0,0,0,0,0
candidate,history.state.2,186160834,61278883,0,0,124,1
candidate,history.state.3,210775084,54269921,1,48785,319,2
candidate,history.state.4,259468666,85845001,3,105389,697,2
candidate,history.state.5,568509417,204602766,5,160406,1161,2
candidate,history.state.6,512144625,170694265,6,166906,1412,4
candidate,history.state.7,717493375,268381800,8,260736,2082,5
candidate,history.state.8,556121542,242061044,38,1416688,2388,14
candidate,history.state.9,756073750,297691981,52,2117803,3148,33
candidate,history.state.10,756210667,316251518,95,3993504,4187,65
candidate,history.state.11,1278863667,530933401,287,12241949,6327,112
candidate,history.state.12,1358942542,566570643,323,14765483,5759,137
candidate,history.state.13,1404125125,602021198,431,20279302,4975,147
candidate,history.state.14,1924158125,823339314,485,22848180,5453,179
candidate,history.state.15,2018376458,832356103,331,15436970,4313,173
candidate,history.state.16,1783905750,733586224,350,15932167,5120,146
candidate,history.state.17,1939765500,858677816,308,14005979,5488,141
