arm,state,operation_ns,provider_ns,outside_provider_ns
baseline,history.state.1,52991584,0,52991584
baseline,history.state.2,280544708,89235857,191308851
baseline,history.state.3,309226792,77079778,232147014
baseline,history.state.4,371089333,120428638,250660695
baseline,history.state.5,806740125,294344451,512395674
baseline,history.state.6,745298458,253030340,492268118
baseline,history.state.7,1042115750,392013950,650101800
baseline,history.state.8,785164917,345984242,439180675
baseline,history.state.9,1089081459,429635513,659445946
baseline,history.state.10,1087516334,457100346,630415988
baseline,history.state.11,1879029750,768884233,1110145517
baseline,history.state.12,1951260583,822777962,1128482621
baseline,history.state.13,1970509708,866952119,1103557589
baseline,history.state.14,2737134917,1162470501,1574664416
baseline,history.state.15,2962439583,1200827847,1761611736
baseline,history.state.16,2608520708,1095349838,1513170870
baseline,history.state.17,2813292708,1220281141,1593011567
candidate,history.state.1,56756583,0,56756583
candidate,history.state.2,266559541,87190221,179369320
candidate,history.state.3,303634542,72361205,231273337
candidate,history.state.4,356166625,106405405,249761220
candidate,history.state.5,778770417,267736485,511033932
candidate,history.state.6,694715291,215884803,478830488
candidate,history.state.7,971678209,340648415,631029794
candidate,history.state.8,727454417,289256800,438197617
candidate,history.state.9,1001914875,360620177,641294698
candidate,history.state.10,1020314875,386940002,633374873
candidate,history.state.11,1769209958,668385742,1100824216
candidate,history.state.12,1795134917,701242371,1093892546
candidate,history.state.13,1885708208,771770805,1113937403
candidate,history.state.14,2564625083,999544581,1565080502
candidate,history.state.15,2793402750,1067591460,1725811290
candidate,history.state.16,2488941250,972433250,1516508000
candidate,history.state.17,2705456583,1129284747,1576171836
