arm,state,ordinal,operation_ns,zero_count_ns,filesystem_ns,state_uninstrumented_ns
baseline,history.state.1,1,56748125,0,723375,598210
baseline,history.state.2,11,285112000,2638958,96657375,1420001
baseline,history.state.3,21,316513834,7513958,85697125,1468209
baseline,history.state.4,31,385414625,16021208,117103000,1328917
baseline,history.state.5,41,776982417,29845500,277241625,2533041
baseline,history.state.6,51,741806167,35013416,242200625,2390126
baseline,history.state.7,61,970129833,48394792,346770708,2947501
baseline,history.state.8,71,773721250,60673834,314060500,2367166
baseline,history.state.9,81,1065938791,73737417,381460791,2559916
baseline,history.state.10,91,1011843583,82179667,398483042,2806501
baseline,history.state.11,101,1828383000,142333250,768976375,2683836
baseline,history.state.12,111,1890341000,138946042,818598625,3259875
baseline,history.state.13,121,1916955542,173537333,869031166,3138917
baseline,history.state.14,131,2643937500,221693375,1215023625,4214750
baseline,history.state.15,141,2788518416,210460917,1247250541,4554332
baseline,history.state.16,151,2467134417,214146250,1066534209,7640126
baseline,history.state.17,157,2695697750,241941459,1290773333,4930874
candidate,history.state.1,1,53340000,0,927459,475997
candidate,history.state.2,11,268927542,1863916,92060542,858083
candidate,history.state.3,21,320006917,5939208,81954875,946542
candidate,history.state.4,31,361438750,15771583,114322458,1684333
candidate,history.state.5,41,832717958,28800250,309486542,2001210
candidate,history.state.6,51,756439084,33100958,247416833,1873500
candidate,history.state.7,61,1060177084,55394750,382361250,2549084
candidate,history.state.8,71,771972458,60797917,324827292,2796917
candidate,history.state.9,81,1070338208,73357125,387478334,2174914
candidate,history.state.10,91,1062516542,84615375,416377708,2342084
candidate,history.state.11,101,1815876000,145459541,791626750,2463295
candidate,history.state.12,111,1828407791,130648166,796874208,3666708
candidate,history.state.13,121,1834515667,159550583,813664959,3238374
candidate,history.state.14,131,2638622875,212621584,1160875708,4767459
candidate,history.state.15,141,2776796083,215160333,1280619166,3950292
candidate,history.state.16,151,2420025208,202604125,1047208375,3494665
candidate,history.state.17,157,2586380500,220210000,1229504458,4537293
