case,family,status,tier,profile,declared_bytes,declared_entries,preparation_ns,acquisition_ns,operation_ns,verification_ns,cleanup_ns,handoff_ns,verification_invocation_ns,complete_command_ns,heap_peak_incremental_bytes,space_apparent_bytes,space_allocated_bytes
append-tail-4k-100m,c1.edit.length-changing,PASS,100m,-,104857600,0,141732084,0,93583,217336292,542,0,0,368095708,51559,,
append-tail-4k-10m,c1.edit.length-changing,PASS,10m,-,10485760,0,15463208,0,69500,28151208,375,0,0,51141708,50375,,
append-tail-4k-1m,c1.edit.length-changing,PASS,1m,-,1048576,0,2473416,0,53291,2319333,417,0,0,12042041,48851,,
append-tail-4k-500m,c1.edit.length-changing,PASS,500m,-,524288000,0,696811542,0,159500,1108288417,708,0,0,1818119458,71002,,
dedup-cdc-boundary-0-s1,c2.delta.boundaries,PASS,-,-,0,0,18097416,12821917,662542,580250,250,1167,0,27638875,2223584,,
dedup-cdc-boundary-0-s2,c2.delta.boundaries,PASS,-,-,0,0,8677042,4633917,580833,564042,250,917,0,16645750,2223584,,
dedup-cdc-boundary-0-s3,c2.delta.boundaries,PASS,-,-,0,0,9878583,5689167,693792,698916,209,1125,0,21009292,2223584,,
dedup-cdc-boundary-1-s1,c2.delta.boundaries,PASS,-,-,1,0,8702958,4696625,893167,675583,167,709,0,16420917,2223989,,
dedup-cdc-boundary-1-s2,c2.delta.boundaries,PASS,-,-,1,0,8160709,4724000,554333,543959,208,791,0,15439375,2223989,,
dedup-cdc-boundary-1-s3,c2.delta.boundaries,PASS,-,-,1,0,8341667,4829583,552208,587209,208,750,0,15943291,2223989,,
dedup-cdc-boundary-16384-s1,c2.delta.boundaries,PASS,-,-,16384,0,8343792,4398292,1162208,949792,292,2042,0,17382375,2289524,,
dedup-cdc-boundary-16384-s2,c2.delta.boundaries,PASS,-,-,16384,0,9648625,5091083,1005792,682916,42,4167,0,18205125,2289524,,
dedup-cdc-boundary-16384-s3,c2.delta.boundaries,PASS,-,-,16384,0,8520083,4501625,1058708,809375,250,4750,0,16896333,2289524,,
dedup-cdc-boundary-32768-s1,c2.delta.boundaries,PASS,-,-,32768,0,9296417,4520667,894750,700041,292,5875,0,17709333,2355060,,
dedup-cdc-boundary-32768-s2,c2.delta.boundaries,PASS,-,-,32768,0,10289708,5162250,959000,835583,250,2291,0,19358750,2355060,,
dedup-cdc-boundary-32768-s3,c2.delta.boundaries,PASS,-,-,32768,0,9166583,4842834,898875,699542,41,10334,0,17712375,2355060,,
dedup-cdc-boundary-32769-s1,c2.delta.boundaries,PASS,-,-,32769,0,8230167,4626250,1150500,688625,84,1875,0,16933250,2355064,,
dedup-cdc-boundary-32769-s2,c2.delta.boundaries,PASS,-,-,32769,0,8488792,5116708,882750,776042,291,1500,0,16124416,2355064,,
dedup-cdc-boundary-32769-s3,c2.delta.boundaries,PASS,-,-,32769,0,8007000,4695458,883292,636125,84,1375,0,15091334,2355064,,
dedup-cdc-boundary-8191-s1,c2.delta.boundaries,PASS,-,-,8191,0,9240042,4697958,820791,640042,291,2750,0,17561750,2256752,,
dedup-cdc-boundary-8191-s2,c2.delta.boundaries,PASS,-,-,8191,0,9859458,5560833,953625,741791,375,3208,0,18761125,2256752,,
dedup-cdc-boundary-8191-s3,c2.delta.boundaries,PASS,-,-,8191,0,9599625,4529042,897208,831000,84,1708,0,19648125,2256752,,
dedup-cdc-boundary-8192-s1,c2.delta.boundaries,PASS,-,-,8192,0,9954792,5140792,811625,648584,208,4958,0,18508292,2256756,,
dedup-cdc-boundary-8192-s2,c2.delta.boundaries,PASS,-,-,8192,0,9076834,4697500,1008583,641583,250,2667,0,17431000,2256756,,
dedup-cdc-boundary-8192-s3,c2.delta.boundaries,PASS,-,-,8192,0,8956750,4534125,799250,733000,333,1791,0,17671583,2256756,,
dedup-cdc-common-body-1,c2.delta.cdc-locality,PASS,1,-,0,1,20592375,10536125,20357291,8408541,917,382262,14623708,49095084,8032182,,
dedup-cdc-common-body-10,c2.delta.cdc-locality,PASS,10,-,0,10,20317208,10021458,115190083,9443666,625,2197015,15019167,143469125,8327329,,
dedup-cdc-common-body-100,c2.delta.cdc-locality,PASS,100,-,0,100,30040667,12307375,1020373125,16943834,958,21037008,22565542,1057618625,8584530,,
dedup-cdc-common-body-500,c2.delta.cdc-locality,PASS,500,-,0,500,63255458,11620125,4990663875,50891042,833,106879631,57910875,5062994666,8660648,,
dedup-cdc-delete-1,c2.delta.cdc-locality,PASS,1,-,0,1,25520333,15159375,20776542,9898168,1000,312578,17321459,54655167,8089534,,
dedup-cdc-delete-10,c2.delta.cdc-locality,PASS,10,-,0,10,29826250,18150833,115388083,10187000,751,2357453,16464459,154668500,8115520,,
dedup-cdc-delete-100,c2.delta.cdc-locality,PASS,100,-,0,100,26162334,11519042,982625375,11323333,625,18186022,16567750,1016991375,8139041,,
dedup-cdc-delete-500,c2.delta.cdc-locality,PASS,500,-,0,500,35164833,11381833,4863382250,24051333,834,89006704,31131542,4907151333,8104047,,
dedup-cdc-insert-1,c2.delta.cdc-locality,PASS,1,-,0,1,26317917,16500166,23855208,9934708,792,420249,15873958,57571042,8028207,,
dedup-cdc-insert-10,c2.delta.cdc-locality,PASS,10,-,0,10,21582666,9660083,119755833,10515500,917,2623207,16346209,149598666,8433210,,
dedup-cdc-insert-100,c2.delta.cdc-locality,PASS,100,-,0,100,38382667,9684000,1070907000,29383833,708,21921698,36088666,1117346500,8547415,,
dedup-cdc-insert-500,c2.delta.cdc-locality,PASS,500,-,0,500,117523917,11619250,5223480875,108561917,916,104601466,115599125,5351656208,8854167,,
dedup-cdc-overwrite-1,c2.delta.cdc-locality,PASS,1,-,0,1,20098292,10650417,21799334,8192375,666,287824,13448917,48965750,8162191,,
dedup-cdc-overwrite-10,c2.delta.cdc-locality,PASS,10,-,0,10,23663708,12225667,116873834,9926166,542,2556117,15314417,147714583,8564605,,
dedup-cdc-overwrite-100,c2.delta.cdc-locality,PASS,100,-,0,100,38692708,12877416,1007490291,24631166,667,20557724,30092416,1053212167,8545339,,
dedup-cdc-overwrite-500,c2.delta.cdc-locality,PASS,500,-,0,500,100805958,10399083,5014779333,94673750,750,100418688,100726333,5123558792,8838616,,
dedup-cdc-scattered-1,c2.delta.cdc-locality,PASS,1,-,0,1,28322042,17906250,23232833,8555708,292,344039,13854083,58932417,8307512,,
dedup-cdc-scattered-10,c2.delta.cdc-locality,PASS,10,-,0,10,24378334,11727375,110512875,12069500,1125,1990272,18063292,142126875,8357909,,
dedup-cdc-scattered-100,c2.delta.cdc-locality,PASS,100,-,0,100,54490209,12069500,1061451500,41986500,626,19825776,48459792,1123720792,8573245,,
dedup-cdc-scattered-500,c2.delta.cdc-locality,PASS,500,-,0,500,202021167,15115792,5464413083,187294500,1167,115273570,191455625,5679387291,8716913,,
dedup-cross-file-anchor-1,c2.reuse.cross-file,PASS,1,-,0,1,11648750,5183459,5893292,4585875,792,126706,0,29427917,3325567,,
dedup-cross-file-identical-10,c2.reuse.cross-file,PASS,10,-,0,10,21089750,13779167,26645167,3671375,125,499192,0,59108542,5026552,,
dedup-cross-file-identical-100,c2.reuse.cross-file,PASS,100,-,0,100,25484292,5586584,229243583,3752750,250,3501570,0,265928583,5029166,,
dedup-cross-file-identical-500,c2.reuse.cross-file,PASS,500,-,0,500,17317208,6188875,1134078625,3779250,291,17028507,0,1162484125,5012184,,
dedup-cross-file-mixed-10,c2.reuse.cross-file,PASS,10,-,0,10,12252459,5137792,27407958,30552583,417,461543,0,76785833,5568864,,
dedup-cross-file-mixed-100,c2.reuse.cross-file,PASS,100,-,0,100,16087792,5137583,239299500,318666417,583,4218138,0,581678000,5932943,,
dedup-cross-file-mixed-500,c2.reuse.cross-file,PASS,500,-,0,500,40588791,5404125,1190688833,1604384708,584,21104541,0,2843179667,5964365,,
dedup-cross-file-unique-10,c2.reuse.cross-file,PASS,10,-,0,10,25741250,4868083,55271750,31680541,584,867701,0,120552542,3404124,,
dedup-cross-file-unique-100,c2.reuse.cross-file,PASS,100,-,0,100,169141250,5727708,567507875,334013041,584,6590441,0,1080553667,3554398,,
dedup-cross-file-unique-500,c2.reuse.cross-file,PASS,500,-,0,500,1026189792,6352792,2350130959,1702173791,792,30680199,0,5094235334,3661448,,
dedup-workspace-exact-1-compact-v2,c2.reuse.workspace,PASS,1,compact-v2,0,1,10747959,6438750,5941667,606375,41,84835,0,22985709,4906514,,
dedup-workspace-exact-10-compact-v2,c2.reuse.workspace,PASS,10,compact-v2,0,10,37022584,18596000,53252584,911875,334,947444,0,98688292,8164266,,
dedup-workspace-exact-100-compact-v2,c2.reuse.workspace,PASS,100,compact-v2,0,100,405668500,193779625,530566833,5427708,583,8300503,0,954543208,8269979,,
dedup-workspace-exact-500-compact-v2,c2.reuse.workspace,PASS,500,compact-v2,0,500,457103167,184475833,1639499834,5511833,542,33887965,0,2111575583,8273971,,
dedup-workspace-local-1-compact-v2,c2.reuse.workspace,PASS,1,compact-v2,0,1,16637791,8322292,6560750,663042,291,102701,0,31313625,4927660,,
dedup-workspace-local-10-compact-v2,c2.reuse.workspace,PASS,10,compact-v2,0,10,37623708,18460666,53534042,844375,417,903465,0,99869792,8468017,,
dedup-workspace-local-100-compact-v2,c2.reuse.workspace,PASS,100,compact-v2,0,100,394302917,192189208,551383375,5468458,584,8103522,0,960513833,8731391,,
dedup-workspace-local-500-compact-v2,c2.reuse.workspace,PASS,500,compact-v2,0,500,456768458,153120667,1787166417,6580500,709,36717631,0,2260449666,8819902,,
dedup-workspace-unique-1-base128-v3,c2.reuse.workspace,PASS,1,base128-v3,0,1,380494458,203523000,13847709,5419833,375,145371,0,408188959,3329970,,
dedup-workspace-unique-1-compact-v2,c2.reuse.workspace,PASS,1,compact-v2,0,1,14527250,7501333,8077167,795833,292,119498,0,31127417,3349698,,
