scope,directory,before,after,delta
core,core,732,6025,5293
core,core/crates,732,6025,5293
core,core/crates/layerfs-content,0,2322,2322
core,core/crates/layerfs-content/src,0,2322,2322
core,core/crates/layerfs-content/src/file,0,1761,1761
core,core/crates/layerfs-content/src/file/cdc,0,499,499
core,core/crates/layerfs-content/src/file/mapping,0,946,946
core,core/crates/layerfs-content/src/object,0,324,324
core,core/crates/layerfs-storage,0,2971,2971
core,core/crates/layerfs-storage/sql,0,44,44
core,core/crates/layerfs-storage/src,0,2927,2927
core,core/crates/layerfs-storage/src/cas,0,931,931
core,core/crates/layerfs-storage/src/encoding,0,591,591
core,core/crates/layerfs-storage/src/pack,0,649,649
core,core/crates/layerfs-storage/src/sqlite,0,504,504
core,core/crates/layerfs-telemetry,732,732,0
core,core/crates/layerfs-telemetry/src,732,732,0
core,core/crates/layerfs-telemetry/src/timer,729,729,0
reference,crates,68476,68476,0
reference,crates/layerfs-cli,1142,1142,0
reference,crates/layerfs-cli/src,1142,1142,0
reference,crates/layerfs-cli/src/bin,43,43,0
reference,crates/layerfs-content,15701,15701,0
reference,crates/layerfs-content/src,15701,15701,0
reference,crates/layerfs-content/src/file,3464,3464,0
reference,crates/layerfs-content/src/file/cdc,499,499,0
reference,crates/layerfs-content/src/file/rope,2295,2295,0
reference,crates/layerfs-content/src/filesystem,2899,2899,0
reference,crates/layerfs-content/src/object,911,911,0
reference,crates/layerfs-content/src/tree,8242,8242,0
reference,crates/layerfs-content/src/tree/directory,2647,2647,0
reference,crates/layerfs-content/src/tree/inode,2410,2410,0
reference,crates/layerfs-content/src/tree/metadata,1114,1114,0
reference,crates/layerfs-daemon,3233,3233,0
reference,crates/layerfs-daemon/src,3233,3233,0
reference,crates/layerfs-fuse,10684,10684,0
reference,crates/layerfs-fuse/src,10684,10684,0
reference,crates/layerfs-fuse/src/bin,161,161,0
reference,crates/layerfs-layerstack-store,22215,22215,0
reference,crates/layerfs-layerstack-store/sql,1168,1168,0
reference,crates/layerfs-layerstack-store/sql/branch,46,46,0
reference,crates/layerfs-layerstack-store/sql/layerstack,54,54,0
reference,crates/layerfs-layerstack-store/sql/objects,34,34,0
reference,crates/layerfs-layerstack-store/sql/query,24,24,0
reference,crates/layerfs-layerstack-store/sql/schema,981,981,0
reference,crates/layerfs-layerstack-store/sql/workspace,29,29,0
reference,crates/layerfs-layerstack-store/src,21047,21047,0
reference,crates/layerfs-layerstack-store/src/layerstack,106,106,0
reference,crates/layerfs-layerstack-store/src/objects,10889,10889,0
reference,crates/layerfs-layerstack-store/src/objects/admission,2086,2086,0
reference,crates/layerfs-layerstack-store/src/objects/read,466,466,0
reference,crates/layerfs-layerstack-store/src/schema,278,278,0
reference,crates/layerfs-materialization,358,358,0
reference,crates/layerfs-materialization/src,358,358,0
reference,crates/layerfs-monitor,414,414,0
reference,crates/layerfs-monitor/src,414,414,0
reference,crates/layerfs-sdk,944,944,0
reference,crates/layerfs-sdk/src,944,944,0
reference,crates/layerfs-workspace,11333,11333,0
reference,crates/layerfs-workspace-core,2452,2452,0
reference,crates/layerfs-workspace-core/src,2452,2452,0
reference,crates/layerfs-workspace/src,11333,11333,0
