path,before_prod,before_phys,after_prod,after_phys,delta_prod,status
core/crates/layerfs-content/src/error.rs,116,168,120,174,4,changed
core/crates/layerfs-content/src/file/cdc/gear.rs,494,538,494,538,0,unchanged
core/crates/layerfs-content/src/file/cdc/mod.rs,5,10,5,10,0,unchanged
core/crates/layerfs-content/src/file/content.rs,195,249,195,249,0,unchanged
core/crates/layerfs-content/src/file/edit/apply.rs,0,0,391,447,391,added
core/crates/layerfs-content/src/file/edit/compare.rs,0,0,67,86,67,added
core/crates/layerfs-content/src/file/edit/concat.rs,0,0,19,29,19,added
core/crates/layerfs-content/src/file/edit/finish.rs,0,0,38,54,38,added
core/crates/layerfs-content/src/file/edit/input.rs,0,0,286,390,286,added
core/crates/layerfs-content/src/file/edit/mod.rs,0,0,15,20,15,added
core/crates/layerfs-content/src/file/edit/split.rs,0,0,23,32,23,added
core/crates/layerfs-content/src/file/edit/tree.rs,0,0,552,645,552,added
core/crates/layerfs-content/src/file/mapping/build.rs,236,267,301,371,65,changed
core/crates/layerfs-content/src/file/mapping/codec.rs,303,334,303,334,0,unchanged
core/crates/layerfs-content/src/file/mapping/mod.rs,15,20,15,20,0,unchanged
core/crates/layerfs-content/src/file/mapping/read.rs,210,241,210,241,0,unchanged
core/crates/layerfs-content/src/file/mapping/types.rs,182,248,182,248,0,unchanged
core/crates/layerfs-content/src/file/mod.rs,10,16,17,23,7,changed
core/crates/layerfs-content/src/file/read.rs,111,127,111,127,0,unchanged
core/crates/layerfs-content/src/file/view.rs,0,0,142,171,142,added
core/crates/layerfs-content/src/lib.rs,16,33,24,41,8,changed
core/crates/layerfs-content/src/object/access.rs,18,36,18,36,0,unchanged
core/crates/layerfs-content/src/object/codec.rs,107,138,107,138,0,unchanged
core/crates/layerfs-content/src/object/id.rs,89,119,89,119,0,unchanged
core/crates/layerfs-content/src/object/inode_leaf.rs,0,0,311,397,311,added
core/crates/layerfs-content/src/object/mod.rs,12,18,23,29,11,changed
core/crates/layerfs-content/src/object/output.rs,111,170,124,192,13,changed
core/crates/layerfs-content/src/object/predecessor.rs,0,0,67,107,67,added
core/crates/layerfs-content/src/policy.rs,106,175,136,226,30,changed
core/crates/layerfs-storage/sql/schema.sql,46,61,48,69,2,changed
core/crates/layerfs-storage/src/cas/batch.rs,58,87,58,87,0,unchanged
core/crates/layerfs-storage/src/cas/dependencies.rs,62,88,62,88,0,unchanged
core/crates/layerfs-storage/src/cas/finish.rs,16,25,16,25,0,unchanged
core/crates/layerfs-storage/src/cas/membership.rs,42,59,32,47,-10,changed
core/crates/layerfs-storage/src/cas/mod.rs,11,16,11,16,0,unchanged
core/crates/layerfs-storage/src/cas/owner.rs,364,471,710,890,346,changed
core/crates/layerfs-storage/src/cas/read.rs,65,83,74,101,9,changed
core/crates/layerfs-storage/src/cas/save.rs,49,70,52,73,3,changed
core/crates/layerfs-storage/src/cas/store.rs,327,430,395,530,68,changed
core/crates/layerfs-storage/src/encoding/codec.rs,367,461,508,632,141,changed
core/crates/layerfs-storage/src/encoding/decode.rs,103,115,170,192,67,changed
core/crates/layerfs-storage/src/encoding/delta/candidates.rs,0,0,126,161,126,added
core/crates/layerfs-storage/src/encoding/delta/mod.rs,0,0,4,8,4,added
core/crates/layerfs-storage/src/encoding/delta/read.rs,0,0,202,261,202,added
core/crates/layerfs-storage/src/encoding/delta/record.rs,0,0,201,240,201,added
core/crates/layerfs-storage/src/encoding/delta/select.rs,0,0,262,343,262,added
core/crates/layerfs-storage/src/encoding/full.rs,112,132,177,213,65,changed
core/crates/layerfs-storage/src/encoding/mod.rs,9,15,11,17,2,changed
core/crates/layerfs-storage/src/encoding/pool/delta.rs,0,0,262,289,262,added
core/crates/layerfs-storage/src/encoding/pool/index.rs,0,0,203,259,203,added
core/crates/layerfs-storage/src/encoding/pool/leaf.rs,0,0,118,161,118,added
core/crates/layerfs-storage/src/encoding/pool/mod.rs,0,0,9,14,9,added
core/crates/layerfs-storage/src/encoding/pool/read.rs,0,0,255,294,255,added
core/crates/layerfs-storage/src/encoding/pool/value_group.rs,0,0,79,103,79,added
core/crates/layerfs-storage/src/error.rs,105,154,105,154,0,unchanged
core/crates/layerfs-storage/src/lib.rs,11,30,11,30,0,unchanged
core/crates/layerfs-storage/src/pack/assemble.rs,195,218,223,252,28,changed
core/crates/layerfs-storage/src/pack/layout.rs,321,392,381,466,60,changed
core/crates/layerfs-storage/src/pack/mod.rs,10,15,12,17,2,changed
core/crates/layerfs-storage/src/pack/placement.rs,123,159,123,159,0,unchanged
core/crates/layerfs-storage/src/policy.rs,148,223,210,332,62,changed
core/crates/layerfs-storage/src/sqlite/cleanup.rs,58,77,58,77,0,unchanged
core/crates/layerfs-storage/src/sqlite/connection.rs,50,72,50,72,0,unchanged
core/crates/layerfs-storage/src/sqlite/lookup.rs,118,150,141,177,23,changed
core/crates/layerfs-storage/src/sqlite/mod.rs,8,13,10,15,2,changed
core/crates/layerfs-storage/src/sqlite/pool.rs,0,0,128,160,128,added
core/crates/layerfs-storage/src/sqlite/schema.rs,223,258,232,267,9,changed
core/crates/layerfs-storage/src/sqlite/write.rs,83,117,83,117,0,unchanged
core/crates/layerfs-telemetry/src/lib.rs,3,16,3,16,0,unchanged
core/crates/layerfs-telemetry/src/timer/format.rs,69,82,69,82,0,unchanged
core/crates/layerfs-telemetry/src/timer/json.rs,115,136,115,136,0,unchanged
core/crates/layerfs-telemetry/src/timer/mod.rs,8,25,8,25,0,unchanged
core/crates/layerfs-telemetry/src/timer/recording.rs,232,291,232,291,0,unchanged
core/crates/layerfs-telemetry/src/timer/report.rs,170,249,170,249,0,unchanged
core/crates/layerfs-telemetry/src/timer/scope.rs,135,206,135,206,0,unchanged
