path,classification,production_loc,physical_lines
core/crates/.DS_Store,non-production:junk,0,3
core/crates/layerfs-content/.DS_Store,non-production:junk,0,3
core/crates/layerfs-content/Cargo.toml,non-production:manifest,0,11
core/crates/layerfs-content/README.md,non-production:docs,0,88
core/crates/layerfs-content/examples/edit_timing_c1.rs,non-production:example,0,180
core/crates/layerfs-content/examples/fingerprint_collision_search.rs,non-production:example,0,175
core/crates/layerfs-content/src/.DS_Store,non-production:junk,0,3
core/crates/layerfs-content/src/error.rs,production,120,174
core/crates/layerfs-content/src/file/.DS_Store,non-production:junk,0,5
core/crates/layerfs-content/src/file/cdc/gear.rs,production,494,538
core/crates/layerfs-content/src/file/cdc/mod.rs,production,5,10
core/crates/layerfs-content/src/file/content.rs,production,195,249
core/crates/layerfs-content/src/file/edit/apply.rs,production,391,447
core/crates/layerfs-content/src/file/edit/compare.rs,production,67,86
core/crates/layerfs-content/src/file/edit/concat.rs,production,19,29
core/crates/layerfs-content/src/file/edit/finish.rs,production,38,54
core/crates/layerfs-content/src/file/edit/input.rs,production,286,390
core/crates/layerfs-content/src/file/edit/mod.rs,production,15,20
core/crates/layerfs-content/src/file/edit/split.rs,production,23,32
core/crates/layerfs-content/src/file/edit/tree.rs,production,552,645
core/crates/layerfs-content/src/file/mapping/build.rs,production,301,371
core/crates/layerfs-content/src/file/mapping/codec.rs,production,303,334
core/crates/layerfs-content/src/file/mapping/mod.rs,production,15,20
core/crates/layerfs-content/src/file/mapping/read.rs,production,210,241
core/crates/layerfs-content/src/file/mapping/types.rs,production,182,248
core/crates/layerfs-content/src/file/mod.rs,production,17,23
core/crates/layerfs-content/src/file/read.rs,production,111,127
core/crates/layerfs-content/src/file/view.rs,production,142,171
core/crates/layerfs-content/src/lib.rs,production,24,41
core/crates/layerfs-content/src/object/access.rs,production,18,36
core/crates/layerfs-content/src/object/codec.rs,production,107,138
core/crates/layerfs-content/src/object/id.rs,production,89,119
core/crates/layerfs-content/src/object/inode_leaf.rs,production,311,397
