revision	root	transition	file	output_digest	occurrence_digest	closure_digest	range_digest
1	18f33e3ca6030e966cf8ed41c0b43f4769de8b02247f453fae447627bee4b77c	60d191810b303b26d12453add0b9e1718b1f1b654473615d9323f0ee477a9b7d	2274f609bfbd578a600da5e07b1deed6ff2c9a77927eaba854b0ebf7ab542142	f79de600cf44b20c4443e06d2e2b9e8819e956ba5a7bcc9cab4ffd8a08059cf8	c2b4a92188569d206717210b596dde9b8aeade1c9c81b87f02b8d0d6ebda1112	7e806f7023c3e33914c59d2b0d0d84bca8859fdbd7663b55f5f5c99313252d42	1728cb1e8667e87cb43922d8ccb6552f7b8fae082808e8d1ca1dbb67f27548b8
2	02027f397c2f49fb23336cf41ee7734c75abfe687ba9d94c748d2b7d357196f1	c6277df1c97589739942f545e9a655f6db95d7d3cc7a5f181d2c2a4fe2b9808e	f4dad473df6d6d9191e2b8eb560af4d3c9d18ae6686a8839313db66b07ec77d1	e540f0994075c2dca92a4bd825755a162567ca174382f3981dba0c945a78c77a	83f63fe84594fda727ff1b2d26964f44261ce7ba2feb4cb963d095d5894d8b9c	28dd58bf4c95ddc77393998e109f20d1317c7761922f22d9065d03c4565ce4e7	7de7b417a00b336dc3cc5b440c3262ff8cc0cd9c38d099aa1c3dff2e685c3079
3	eb784b62c2e0daf54e4a685c4598039909976e4c934021f7a83feb8cebac802b	92a365af8b3f560e001c69659921d5ec4e8d9ec141804f72d4729285210e5562	7916b9a3c288d73037ea55df926e0d137daf9e46e92a663fcad1e795997d9e59	7ac623fb3e85bb510d787f4ee7dccc98dc2cd03da31c507896ebe94eb615dff3	74db9cac46517c1088457bfc93842d7c46a9094c12013fcdb79180ba1cd4a995	e23df25be27baef8efe1cea709a28370de3c90002497df96e591cf9cf9d1b59b	3b9050cf7ce700bb81b4263cfad5695abee56e207489928e4ba5b40e1de82cd9
4	f3212bf3c8553268cd51d4361506d8ad47c0b966f11bb48534e782f7664da629	9318503f4f81781cec8cd5a4b3f346522afba5075c79f3f4b657cc0cb200a331	eb5bae2c78e32f3afa2ba6543d7294091885e4afea1c791723d1b951d8db308e	fff3671c76ab501260171fd24fbf16bc6b928a54f6c557a42e8854949d6855e6	84763b103a176c4f8da47f30c5e3d0ecfab7beca758ff9aa5a6ef83290e6df5a	58327682b6b37d2e3f4ef2d403c52c3ff6325db75e58cfcf2e1dd17eff2baea7	a132c1f7d3633ed4f5938fe1ad8f85e2cc5dfc0860fb6ff81fea34edf4c10723
5	de551f9ededf631c6ee4a551659570c2efacccb569da830844b6e5701184458b	5b0352dea98b2c973a3766ca1e62215384e47f439e7f73f608e9cf6ded3c10fc	4624ff7be828a899fca70957773b34ccdf36bbf8964def583e986f667866e5ae	19542aa99c82ace0a7aec89bb92934cb9478196cbe0140a54e13c72864b9a72b	3424e26b0e4b92f4a89ad6ee7489c2ea26bbcd098e81297e8595f6b0852c5e80	ec7a8f94d11d1e930ba72b01a37858db4e1d2409781cad4f7f1b43296d6ddd1e	7c6790ca1093bb91f1103dc26c8c1b944fd16a16fac0407511cc0d12d0488a68
6	18e343517e4102d7a635fc31899c64015174c5eb091c7eedea85941cf4c9d875	640a0343c68d76beee3c4749f4ee3d198b3c97ab337330c50b38925c9d4cf7cd	6d973ad847281aa21dd8a51e2fcf6305faf1e0da1f0cb3be284c92e04aa8b669	15c24b4d7de8d4c2bd782b50bf6a4ad4e139a520cb79b4b2a7d9eeb889c2baf4	0345e1dc41a1c40decf672958cf2aae187b28083b1ebb841acf14723206910cd	c72f8081938eabb02d3547f8bbe20870fdc5715340e7351a95b7adf8ec17f8a6	17c2e3c6ee153000090ef5f3c09f448c78d8964c058a5b27ff21cb4e3130cba2
7	ad9da1b088c5c42a3f93bfbf59eaeacb7e76d5524cc584f4a8e29e79c125c2bf	cb03911cd898a104f7f6f1cf2a5d8e6b330c1607bb609e1be5bf35abbf35f724	4e5b78a336a84efe81dfa1d1a994d3ece2fbb125b6d27e04c2f6fce1667c439d	48c6a0cce9c3c06ecf07f051ae7b6dcf21b215de0f550d0b10b263fb1b5044dd	8e598e2a0ff6222b2c593d73fe7fbc4c1aa91cad1dcc9ee3c11d7d7e305fcd80	93ebf700bcdd27ef1a42d68d2471f3dba4940982389de62af96c50cf21eb4baf	689c8fdeb0b44cca25cafaaa384c5e77eb7d2f181dc859ddda8236d7d947c653
8	14d0328febe0943812e12f95d30a51299ccc9df93014edd7da51ee73f42d63c1	9d4da86194e4fb32d49f630b899daa51e47c2cbcfccba60c0cae8eff502bf7db	204b3b27a44ac13a8ca0bcd060748bf093061093af0af3ac73fff86dc78e4f29	8f5093eb2f96993aadc2b6937a498d9407251711649dd3ac522c38d41da83ffc	0281bb32ed73d5ad36a95b990e437624159348beb4239c1e49bc7346e1137018	1da7bf81cc96a9cc6a15bd030bf060db0b1e37db35de60380769b6963e07550e	fc13f12f9c211a332468c1e88ed35b461625f6786999c3945aa1baec1f4ad406
9	856bf5ae67cd709259d320130113fc590cf45bd4d5ec389f38736b9a11a2cf4c	538e09fb8bd002d4699b0920344da7d56ddb0fc11eaaeb7d21fdf5fc51e55dae	722d470480e31914b35db692c36230e93b904e7f92317f67d078b30ba0ab92f0	b915557b57ac6641a3973e3b9f38fc758eda25a1e23d133c92177a2cdf1339d0	e5c78bf6cbabd86c8d0ff46560524d4b5b8d64b6d5e346ad4a68531cbb87eb08	f72cbe60f1189b9d9c03706034259bb2f021b2bb78294f48fed6203a19bc6c6d	6eaec021c5d76e528b94cdcfce92cfa81b060f7e403e6d2bd71bb69d5a7536c6
10	569b304a66c6ac3a67612ab97302daa1a49b9d1a0301d5dd2316a73006b33c6d	19ae4c53412bd98b4b7b4b3a8f878e90a634d83c8788ee3965e5bc29e5f6e444	ae9c6a63dc49516682314dcecb80faa66e8c28ebbe70bfe20d88bc3f660ba0a6	dad6f3e7ea0050c9fdea1cca97f074760cee55b738ea42010c77e03d071419da	4ad164f526bb8d199f49f755d2b7bf4999da50195e3c53abf9db209a5551ea40	8648e0f6028b4812c8af6f974cb476d33bbbff92fe8b8772012812038630eceb	3fc215c41e5505082807bb1bd17c0b8bdbccdecf256b3ec7c271f2230b32837a
