revision	parent_revision	operation	reference_ordinal	byte_offset	replacement_prefix_be_u64
1	0	genesis	26	523926	0000000000000001
2	1	fixed-reference-same-count-replace	26	523926	0000000000000002
3	2	fixed-reference-same-count-replace	26	523926	0000000000000003
4	3	fixed-reference-same-count-replace	26	523926	0000000000000004
5	4	fixed-reference-same-count-replace	26	523926	0000000000000005
6	5	fixed-reference-same-count-replace	26	523926	0000000000000006
7	6	fixed-reference-same-count-replace	26	523926	0000000000000007
8	7	fixed-reference-same-count-replace	26	523926	0000000000000008
9	8	fixed-reference-same-count-replace	26	523926	0000000000000009
10	9	fixed-reference-same-count-replace	26	523926	000000000000000a
11	10	fixed-reference-same-count-replace	26	523926	000000000000000b
12	11	fixed-reference-same-count-replace	26	523926	000000000000000c
13	12	fixed-reference-same-count-replace	26	523926	000000000000000d
14	13	fixed-reference-same-count-replace	26	523926	000000000000000e
15	14	fixed-reference-same-count-replace	26	523926	000000000000000f
16	15	fixed-reference-same-count-replace	26	523926	0000000000000010
17	16	fixed-reference-same-count-replace	26	523926	0000000000000011
18	17	fixed-reference-same-count-replace	26	523926	0000000000000012
19	18	fixed-reference-same-count-replace	26	523926	0000000000000013
20	19	fixed-reference-same-count-replace	26	523926	0000000000000014
21	20	fixed-reference-same-count-replace	26	523926	0000000000000015
22	21	fixed-reference-same-count-replace	26	523926	0000000000000016
23	22	fixed-reference-same-count-replace	26	523926	0000000000000017
24	23	fixed-reference-same-count-replace	26	523926	0000000000000018
25	24	fixed-reference-same-count-replace	26	523926	0000000000000019
26	25	fixed-reference-same-count-replace	26	523926	000000000000001a
27	26	fixed-reference-same-count-replace	26	523926	000000000000001b
28	27	fixed-reference-same-count-replace	26	523926	000000000000001c
29	28	fixed-reference-same-count-replace	26	523926	000000000000001d
30	29	fixed-reference-same-count-replace	26	523926	000000000000001e
31	30	fixed-reference-same-count-replace	26	523926	000000000000001f
32	31	fixed-reference-same-count-replace	26	523926	0000000000000020
33	32	fixed-reference-same-count-replace	26	523926	0000000000000021
34	33	fixed-reference-same-count-replace	26	523926	0000000000000022
35	34	fixed-reference-same-count-replace	26	523926	0000000000000023
36	35	fixed-reference-same-count-replace	26	523926	0000000000000024
37	36	fixed-reference-same-count-replace	26	523926	0000000000000025
38	37	fixed-reference-same-count-replace	26	523926	0000000000000026
39	38	fixed-reference-same-count-replace	26	523926	0000000000000027
40	39	fixed-reference-same-count-replace	26	523926	0000000000000028
41	40	fixed-reference-same-count-replace	26	523926	0000000000000029
42	41	fixed-reference-same-count-replace	26	523926	000000000000002a
43	42	fixed-reference-same-count-replace	26	523926	000000000000002b
44	43	fixed-reference-same-count-replace	26	523926	000000000000002c
45	44	fixed-reference-same-count-replace	26	523926	000000000000002d
46	45	fixed-reference-same-count-replace	26	523926	000000000000002e
47	46	fixed-reference-same-count-replace	26	523926	000000000000002f
48	47	fixed-reference-same-count-replace	26	523926	0000000000000030
49	48	fixed-reference-same-count-replace	26	523926	0000000000000031
50	49	fixed-reference-same-count-replace	26	523926	0000000000000032
51	50	fixed-reference-same-count-replace	26	523926	0000000000000033
52	51	fixed-reference-same-count-replace	26	523926	0000000000000034
53	52	fixed-reference-same-count-replace	26	523926	0000000000000035
54	53	fixed-reference-same-count-replace	26	523926	0000000000000036
55	54	fixed-reference-same-count-replace	26	523926	0000000000000037
56	55	fixed-reference-same-count-replace	26	523926	0000000000000038
57	56	fixed-reference-same-count-replace	26	523926	0000000000000039
58	57	fixed-reference-same-count-replace	26	523926	000000000000003a
59	58	fixed-reference-same-count-replace	26	523926	000000000000003b
60	59	fixed-reference-same-count-replace	26	523926	000000000000003c
61	60	fixed-reference-same-count-replace	26	523926	000000000000003d
62	61	fixed-reference-same-count-replace	26	523926	000000000000003e
63	62	fixed-reference-same-count-replace	26	523926	000000000000003f
